url_length,count_dots,count_hyphens,count_at,count_question,is_https,keyword_count
54,2,2,0,0,1,0
83,3,0,0,0,1,0
424,3,0,0,1,1,0
82,3,0,0,0,0,0
83,3,0,0,0,1,0
83,3,0,0,0,1,0
296,3,0,0,1,1,0
28,2,0,0,0,0,0
28,2,0,0,0,0,0
28,2,0,0,0,0,0
28,2,0,0,0,0,0
26,2,0,0,0,0,0
30,2,0,0,0,0,0
31,2,0,0,0,1,0
39,2,1,0,0,0,0
40,2,1,0,0,1,0
25,2,1,0,0,0,0
83,3,0,0,0,1,0
83,3,0,0,0,1,0
83,3,0,0,0,1,0
59,2,3,0,0,0,0
82,3,0,0,0,0,0
83,3,0,0,0,1,0
82,3,0,0,0,0,0
83,3,0,0,0,1,0
27,1,1,0,0,1,0
28,1,1,0,0,1,0
31,2,0,0,0,1,0
84,2,2,0,0,1,0
84,2,0,0,0,1,0
84,2,1,0,0,1,0
84,2,1,0,0,1,0
84,2,1,0,0,1,0
84,2,1,0,0,1,0
84,2,0,0,0,1,0
84,2,0,0,0,1,0
84,2,0,0,0,1,0
84,2,0,0,0,1,0
84,2,1,0,0,1,0
84,2,1,0,0,1,0
84,2,2,0,0,1,0
84,2,1,0,0,1,0
84,2,0,0,0,1,0
84,2,1,0,0,1,0
84,2,1,0,0,1,0
84,2,2,0,0,1,0
84,2,2,0,0,1,0
84,2,0,0,0,1,0
84,2,0,0,0,1,0
84,2,0,0,0,1,0
84,2,2,0,0,1,0
84,2,1,0,0,1,0
84,2,2,0,0,1,0
84,2,0,0,0,1,0
84,2,0,0,0,1,0
84,2,1,0,0,1,0
84,2,1,0,0,1,0
84,2,1,0,0,1,0
84,2,0,0,0,1,0
84,2,1,0,0,1,0
84,2,1,0,0,1,0
46,3,1,0,1,1,0
46,3,1,0,1,1,0
46,3,1,0,1,1,0
46,3,1,0,1,1,0
26,1,1,0,0,1,0
26,1,1,0,0,1,0
26,1,1,0,0,1,0
26,1,1,0,0,1,0
65,3,0,0,1,1,1
22,1,0,0,0,1,0
22,1,0,0,0,1,0
21,1,1,0,0,1,0
22,1,0,0,0,1,0
22,1,0,0,0,1,0
21,1,1,0,0,1,0
22,1,0,0,0,1,0
21,1,1,0,0,1,0
23,2,0,0,0,1,0
22,1,0,0,0,1,0
23,2,0,0,0,1,0
22,1,0,0,0,1,0
21,1,1,0,0,1,0
23,2,0,0,0,1,0
22,1,0,0,0,1,0
22,1,0,0,0,1,0
22,1,0,0,0,1,0
22,1,0,0,0,1,0
21,1,1,0,0,1,0
