url_length,digit_ratio,entropy,count_dots,count_hyphens,count_at,is_https,suspicious_tld,keyword_count
31,0.0,3.9779168746936375,2,1,0,1,0,0
40,0.05,4.184183719779189,2,1,0,1,0,0
45,0.0,4.224751985026255,2,3,0,1,0,0
38,0.0,4.083067973799101,2,0,0,1,0,0
41,0.2682926829268293,4.192321821427417,2,3,0,1,0,0
70,0.0,4.344856368079473,3,1,0,1,0,1
29,0.2413793103448276,3.9952378913808864,2,0,0,1,0,0
32,0.0,3.9917292966721742,2,1,0,1,0,0
33,0.0,3.9831956342477297,2,1,0,1,0,0
49,0.0,4.084225793917433,3,2,0,1,0,0
43,0.0,4.018606033469987,2,3,0,0,0,0
45,0.0,4.024317540389504,2,3,0,1,0,0
44,0.0,4.297626721392668,2,2,0,1,0,0
42,0.0,4.240781042383514,2,2,0,0,0,0
84,0.07142857142857142,5.131443577561678,2,0,0,1,0,0
50,0.0,4.033269689515109,3,0,0,0,0,0
51,0.0,4.039401567164744,3,0,0,1,0,0
31,0.0,4.171465261790411,2,2,0,1,0,0
82,0.2682926829268293,4.801966914660633,4,0,0,1,0,0
37,0.0,4.0671651897778585,2,0,0,1,0,1
36,0.0,4.07243125132212,2,0,0,0,0,1
35,0.0,3.7642990880644707,2,0,0,1,0,1
37,0.02702702702702703,4.044063758094795,2,0,0,1,0,0
36,0.0,3.6916116417513787,2,1,0,1,0,0
33,0.0,3.8391081341821707,2,1,0,1,0,0
43,0.0,4.204652545097894,2,0,0,1,0,0
36,0.027777777777777776,4.239097917988787,1,1,0,1,0,0
36,0.0,4.027719015921098,2,1,0,1,0,1
287,0.23693379790940766,5.845372935842898,1,1,0,1,0,0
38,0.0,4.218469211370856,2,0,0,1,0,0
47,0.0851063829787234,4.29583865042806,2,0,0,1,0,0
48,0.08333333333333333,4.284829751626017,2,0,0,1,0,0
31,0.0,3.8732358263763293,2,0,0,1,0,0
41,0.0,4.269035163567093,2,0,0,1,0,0
30,0.0,4.123231428797621,2,1,0,1,0,0
44,0.0,4.299896391167893,2,1,0,1,0,0
57,0.0,4.15948513723046,3,0,0,1,0,0
38,0.0,3.918208434154617,2,2,0,0,0,0
40,0.0,3.989822782008756,2,2,0,1,0,0
34,0.4117647058823529,4.010133709394732,3,0,0,0,0,0
35,0.4,3.990017217489903,3,0,0,0,0,0
42,0.0,4.014357827994778,2,0,0,0,0,0
44,0.0,3.899677289476146,2,0,0,0,0,0
44,0.0,4.0443256525806985,3,0,0,1,0,0
68,0.029411764705882353,4.631057511255378,3,1,0,1,0,0
69,0.028985507246376812,4.610204485977385,3,1,0,1,0,0
30,0.0,3.9647351787255047,1,0,0,1,0,0
113,0.061946902654867256,5.306472494202779,2,1,0,1,0,0
35,0.05714285714285714,4.457575159678482,1,0,0,1,0,0
99,0.0707070707070707,5.236525151272229,2,1,0,1,0,0
29,0.0,3.909368063943885,2,0,0,1,0,0
84,0.13095238095238096,5.20483401847097,2,0,0,1,0,0
33,0.0,3.7377451654565217,1,0,0,1,0,0
55,0.12727272727272726,4.642647159286647,3,0,0,1,0,0
67,0.0,4.23223812417989,4,0,0,0,0,0
30,0.0,3.881727678869736,2,0,0,0,0,0
32,0.0,3.8667292966721747,2,0,0,1,0,0
66,0.3181818181818182,4.426694786471964,3,0,0,1,0,1
158,0.12025316455696203,5.571257825615574,2,4,0,1,0,1
61,0.0,4.007096863364293,3,2,0,1,0,0
30,0.0,4.015061012203069,1,0,0,1,0,0
28,0.0,4.066108939837481,1,0,0,0,0,0
47,0.2127659574468085,4.293222627951163,3,3,0,1,0,1
49,0.22448979591836735,4.207858885553015,3,3,0,1,0,1
42,0.047619047619047616,4.338396886909941,1,0,0,1,0,0
49,0.02040816326530612,4.394823364302609,1,0,0,1,0,0
49,0.0,4.379417496911518,1,0,0,1,0,0
